Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Novi Sad;45,12;19,3;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-18;1,3;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;4,023414374;5,310906974;0,32;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Novi Sad;45,12;19,3;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-25,6;2,1;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;4,018825507;5,706732221;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Novi Sad;45,12;19,3;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-29,7;2,5;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;4,026528683;5,677405443;0,41;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Pozega;43,49;20,02;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-18,4;1,2;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,161922325;4,489929702;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Pozega;43,49;20,02;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-21,3;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,179104192;4,577910036;0,44;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Pozega;43,49;20,02;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-30,2;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,090255315;4,944408505;0,6;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Pozega;43,49;20,02;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-34,9;2,7;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,186663733;5,003062061;0,57;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Sombor;45,28;19,03;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-16,7;1,6;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,118190906;4,178375814;0,34;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Sombor;45,28;19,03;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-19;1,8;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,134605147;4,200370897;0,34;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Sombor;45,28;19,03;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-26,3;2,5;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,138372556;4,51925648;0,44;Positive;;;;;;;;;
