Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Italy;;;;World;IT;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Latvia;;;;World;LV;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Lithuania;;;;World;LT;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Moldova;;;;World;MD;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Netherlands;;;;World;NL;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;North Macedonia;;;;World;MK;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Norway;;;;World;NO;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Marginal;Suitable;;Positive;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Poland;;;;World;PL;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Suitable;;Negative;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Portugal;;;;World;PT;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Romania;;;;World;RO;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Suitable;;Negative;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Serbia;;;;World;RS;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Negative;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Slovakia;;;;World;SK;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Spain;;;;World;ES;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitabiliy index;;Suitable;Suitable;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Ukraine;;;;World;UA;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Optimal;Suitable;;Negative;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;United Kingdom of Great Britain and Northern Ireland;;;;World;UK;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Sweden;;;;World;SE;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Marginal;Suitable;;Positive;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Finland;;;;World;FI;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Marginal;Suitable;;Positive;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;France;;;;World;FR;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Optimal;Suitable;;Negative;;;;;;;;;Extracted from Fig. 3 with ImageJ
Soares et al. 2021;10.1007/s42965-021-00174-1;Impact;Soybean;;Rainfed;Europe;Germany;;;;World;DE;Country;;;Far;2070;2070;1961;1990;2070;1975;A2;CSIRO-Mk3.0;;;846;CLIMEX;Niche model;Temperature/Rainfall/Temperature stress/Water stress;Suitability index;;Suitability index;;Optimal;Optimal;;Neutral;;;;;;;;;Extracted from Fig. 3 with ImageJ
Lesk et al. 2021;10.1038/s43016-021-00341-6;Impact;Soybean;;Undifferentiated;Europe;Italy;;;;World;ITC;Nuts1;;;Far;2051;2100;2004;2013;2075;2008;SSP2-4.5;12;;;;;Statistical model;Temperature/Rainfall/Temperature stress/Water stress;Change in yield;;Yield change;;;;-0,28;Negative;;;;;;;;;Supplementary data
Lesk et al. 2021;10.1038/s43016-021-00341-6;Impact;Soybean;;Undifferentiated;Europe;Romania;;;;World;RO;Country;;;Far;2051;2100;2004;2013;2075;2008;SSP2-4.5;12;;;;;Statistical model;Temperature/Rainfall/Temperature stress/Water stress;Change in yield;;Yield change;;;;-0,55;Negative;;;;;;;;;Supplementary data
Lesk et al. 2021;10.1038/s43016-021-00341-6;Impact;Soybean;;Undifferentiated;Europe;Bulgaria;;;;World;BG;Country;;;Far;2051;2100;2004;2013;2075;2008;SSP2-4.5;12;;;;;Statistical model;Temperature/Rainfall/Temperature stress/Water stress;Change in yield;;Yield change;;;;-0,55;Negative;;;;;;;;;Supplementary data
Chen et al. 2023;10.1093/jee/toad058;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Far;2021;2100;1970;2000;2060;1985;SSP1-2.6/SSP5-8.5;3;;;;MaxEnt;Niche model;Temperature/Rainfall/Pests;Suitability index/Risk of pest occurrence;;;;;;;;;;;;;;;;
Marchioro & Krechemer 2023;10.1111/eea.13293;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Near;2040;2040;1970;2000;2040;1985;SSP2-4.5/SSP5-8.5;7;;;;MaxEnt;Niche model;Temperature/Rainfall/Pests;Suitability index/Risk of pest occurrence;;;;;;;;;;;;;;;;
Marchioro & Krechemer 2023;10.1111/eea.13293;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Far;2080;2080;1970;2000;2080;1985;SSP2-4.5/SSP5-8.5;7;;;;MaxEnt;Niche model;Temperature/Rainfall/Pests;Suitability index/Risk of pest occurrence;;;;;;;;;;;;;;;;
Weinberg et al. 2022;10.1127/entomologia/2022/1397;Impact;Soybean;;Undifferentiated;Europe;;;;;World;;;;;Near;2040;2060;1980;2010;2050;1995;RCP8.5;ACCESS1.0;;;;CLIMEX;Niche model;Temperature/Rainfall/Pests;Suitability index/Risk of pest occurrence;;;;;;;;;;;;;;;;
Tai & Martin 2017;10.1016/j.atmosenv.2017.09.002;Impact;Soybean;;Undifferentiated;Europe;;;;;World;;;;;Near;2050;2050;2000;2000;2050;2000;RCP4.5;;;;;Regression;Statistical model;Temperature/Ozone;Change in production;;Mean production;;;;-0,07;Negative;;;;;;;;;
Tai & Martin 2017;10.1016/j.atmosenv.2017.09.002;Impact;Soybean;;Undifferentiated;Europe;;;;;World;;;;;Near;2050;2050;2000;2000;2050;2000;RCP8.5;;;;;Regression;Statistical model;Temperature/Ozone;Change in production;;Mean production;;;;-0,16;Negative;;;;;;;;;
Tai et al. 2014;10.1038/NCLIMATE2317;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Near;2050;2050;2000;2000;2050;2000;RCP4.5;;;;;Regression;Statistical model;Temperature/Ozone;Change in production;;Mean production;;;;-0,07;Negative;;;;;;;;;
Tai et al. 2014;10.1038/NCLIMATE2317;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Near;2050;2050;2000;2000;2050;2000;RCP8.5;;;;;Regression;Statistical model;Temperature/Ozone;Change in production;;Mean production;;;;-0,17;Negative;;;;;;;;;
Lombardozzi et al. 2018;10.1029/2018JG004680;Impact;Soybean;;Rainfed;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;RCP8.5;CCSM4;;;;CLM4.5-BGC-crop;Process-based model;Temperature/Rainfall/CO2/Ozone/Stress unclear;Change in yield;;Relative yield;;100;104;0,04;Neutral;;;;;;;;;
Lombardozzi et al. 2018;10.1029/2018JG004680;Impact;Soybean;;Rainfed;Europe;;;;;World;;;;;Near;2045;2055;1996;2005;2050;2000;RCP8.5;CCSM4;;;;CLM4.5-BGC-crop;Process-based model;Temperature/Rainfall/CO2/Ozone/Stress unclear;Change in yield;;Relative yield;;100;102;0,02;Neutral;;;;;;;;;
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;World;UA;Country;;;Far;2090;2099;1996;2005;2094;2000;SSP2-4.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;Negative;;;;;;;;;Supplementary Fig. S11
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;World;UA;Country;;;Far;2090;2099;1996;2005;2094;2000;SSP5-8.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;Positive;;;;;;;;;Supplementary Fig. S11
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP2-4.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,211;Positive;Fertilization x irrigation;Rainfed x No N input;Irrigation x N input;;Supplementary Table S7
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP5-8.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,224;Positive;Fertilization x irrigation;Rainfed x No N input;Irrigation x N input;;Supplementary Table S7
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP2-4.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,037;Neutral;Fertilization;No N input;N input;;Supplementary Table S7
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP5-8.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,023;Neutral;Fertilization;No N input;N input;;Supplementary Table S7
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP2-4.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,195;Positive;Irrigation;Rainfed;Irrigated;;Supplementary Table S7
Lin et al. 2021;10.1029/2021JG006304;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;World;;;;;Far;2090;2099;1996;2005;2094;2000;SSP5-8.5;;;;;ISAM;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield;Irrigation/Fertilization/Fertilization x Irrigation;Yield;t/ha;;;;;;;0,216;Positive;Irrigation;Rainfed;Irrigated;;Supplementary Table S7
Tong et al. 2022;10.3390/land11020163;Impact;Soybean;;Undifferentiated;Europe;;;;;Europe;;;;;Near;2010;2047;1986;2005;2028;1995;+1.5C World;5;;;;EPIC/GEPIC/GAEZ-IMAGE/LPJGUESS/LPJml/PEGASUS/pDSSAT;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Likelihood of yield loss hotspots;;;;;;;;;;;;;;;;
Tong et al. 2022;10.3390/land11020163;Impact;Soybean;;Undifferentiated;Europe;;;;;Europe;;;;;Near;2010;2047;1986;2005;2028;1995;+1.5C World;5;;;;EPIC/GEPIC/GAEZ-IMAGE/LPJGUESS/LPJml/PEGASUS/pDSSAT;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Likelihood of yield loss hotspots;;;;;;;;;;;;;;;;
Leng & Hall 2019;10.1016/j.scitotenv.2018.10.434;Impact;Soybean;;Unclear;Europe;;;;;World;;;;;Far;2071;2100;1961;2016;2085;1988;RCP8.5;5;;;;CGMS-WOFOST/CLM-Crop/GEPIC/LPJ-GUESS/LPJmL/pAPSIM/PEGASUS/EPIC-IIASA/EPIC-Boku/ORCHIDEE-crop/pDSSAT/Probabilistic model;Process-based model/Probabilistic model;Temperature/Rainfall/Water stress;Risk of crop failure;;;;;;;;;;;;;;;;
Nendel et al. 2023;10.1111/gcb.16562;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;Europe;;;;;Far;2040;2069;1981;2010;2054;1995;RCP4.5;5;;;499;APSIM/MONICA/HERMES/STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield;Irrigation/Cultivar;;;;;;;;;;;;;;;
Nendel et al. 2023;10.1111/gcb.16562;Impact/Adapt;Soybean;April;Undifferentiated;Europe;;;;;Europe;;;;;Far;2040;2069;1981;2010;2054;1995;RCP8.5;5;;;571;APSIM/MONICA/HERMES/STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield;Irrigation/Cultivar;;;;;;;;;;;;;;;
Nendel et al. 2023;10.1111/gcb.16562;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;Europe;;;;;Far;2040;2069;1981;2010;2054;1995;RCP4.5;5;;;499;APSIM/MONICA/HERMES/STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield;Irrigation/Cultivar;Mean yield;tDM/ha;1,4;1,86;0,33;Positive;3,86;4,21;1,26344086;Positive;Irrigation;Rainfed;;;
Nendel et al. 2023;10.1111/gcb.16562;Impact/Adapt;Soybean;April;Rainfed;Europe;;;;;Europe;;;;;Far;2040;2069;1981;2010;2054;1995;RCP8.5;5;;;571;APSIM/MONICA/HERMES/STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield;Irrigation/Cultivar;Mean yield;tDM/ha;1,4;1,69;0,21;Positive;3,86;4,24;1,50887574;Positive;Irrigation;Rainfed;;;
Wagner et al. 2016;10.1127/metz/2015/0698;Impact/Adapt;Bean;May;Rainfed;Europe;Germany;Dresden;51;13,9;Region;DED;Nuts1;51,655;13,985;Near;2021;2050;1991;2020;2035;2005;A1B;ECHAM5;;;;Daisy;Process-based model;Temperature/Rainfall/Water stress;Grain yield/Irrigation demand/Future water availability;Irrigation;Median Yield;tDM/ha;2,333;2,222;-0,05;Neutral;2,403;2,282;0,0270027;Neutral;Irrigation;Rainfed;200mm;;
Wagner et al. 2016;10.1127/metz/2015/0698;Impact/Adapt;Bean;May;Rainfed;Europe;Germany;Dresden;51;13,9;Region;DED;Nuts1;51,655;13,985;Far;2071;2100;1991;2020;2085;2005;A1B;ECHAM5;;;;Daisy;Process-based model;Temperature/Rainfall/Water stress;Grain yield/Irrigation demand/Future water availability;Irrigation;Median Yield;tDM/ha;2,333;2;-0,14;Negative;2,403;2,26;0,13;Positive;Irrigation;Rainfed;200mm;;
Ravasi et al. 2020;10.1016/j.agrformet.2020.108081;Impact/Adapt;Pea;Spring;Irrigated;Europe;Italy;Piacenza;45,05;9,7;Spot;ITH5;Nuts2;44,735;10,94;Near;2030;2049;1986;2005;2039;1995;RCP4.5;GISS-ES;;;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Irrigation demand/Water productivity;Virtual cultivar;Yield;tDM/ha;1,58;1,48;-0,06;Negative;;1,56;0,054054054;Positive;Virtual cultivar;;;;
Ravasi et al. 2020;10.1016/j.agrformet.2020.108081;Impact/Adapt;Pea;Spring;Irrigated;Europe;Italy;Piacenza;45,05;9,7;Spot;ITH5;Nuts2;44,735;10,94;Near;2030;2049;1986;2005;2039;1995;RCP8.5;HadGEM2;;;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Irrigation demand/Water productivity;Virtual cultivar;Yield;tDM/ha;1,58;1,38;-0,13;Negative;;1,48;0,072463768;Positive;Virtual cultivar;;;;
Ravasi et al. 2020;10.1016/j.agrformet.2020.108081;Impact/Adapt;Pea;Spring;Irrigated;Europe;Italy;Ravenna;44,42;12,18;Spot;ITH5;Nuts2;44,735;10,94;Near;2030;2049;1986;2005;2039;1995;RCP4.5;GISS-ES;;;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Irrigation demand/Water productivity;Virtual cultivar;Yield;tDM/ha;1,4;1,34;-0,04;Neutral;;1,38;0,029850746;Neutral;Virtual cultivar;;;;
Ravasi et al. 2020;10.1016/j.agrformet.2020.108081;Impact/Adapt;Pea;Spring;Irrigated;Europe;Italy;Ravenna;44,42;12,18;Spot;ITH5;Nuts2;44,735;10,94;Near;2030;2049;1986;2005;2039;1995;RCP8.5;HadGEM2;;;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Irrigation demand/Water productivity;Virtual cultivar;Yield;tDM/ha;1,4;1,29;-0,08;Negative;;1,31;0,015503876;Neutral;Virtual cultivar;;;;
Nendel et al. 2014;10.1016/j.eja.2012.09.005;Impact/Adapt;Pea;March;Rainfed;Europe;Germany;Müncheberg;52,31;14,07;Spot;DE409;Nuts3;51,655;13,985;Near;2010;2040;1996;2025;2025;2010;A1B;ECHAM5;;;;MONICA;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/Irrigation demand;Irrigation;Yield;t/ha;3,7;4,2;0,14;Positive;6,2;6,4;0,523809524;Positive;Irrigation;Rainfed;146mm;;Extracted from Fig. 3 with ImageJ
Nendel et al. 2014;10.1016/j.eja.2012.09.005;Impact/Adapt;Pea;March;Rainfed;Europe;Germany;Müncheberg;52,31;14,07;Spot;DE409;Nuts3;51,655;13,985;Near;2026;2055;1996;2025;2040;2010;A1B;ECHAM5;0,095940959;0,7;465;MONICA;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/Irrigation demand;Irrigation;Yield;t/ha;3,7;4,6;0,24;Positive;6,2;6,2;0,347826087;Positive;Irrigation;Rainfed;133mm;;Extracted from Fig. 3 with ImageJ
Nendel et al. 2014;10.1016/j.eja.2012.09.005;Impact/Adapt;Pea;March;Rainfed;Europe;Germany;Müncheberg;52,31;14,07;Spot;DE409;Nuts3;51,655;13,985;Far;2040;2070;1996;2025;2055;2010;A1B;ECHAM5;;;;MONICA;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/Irrigation demand;Irrigation;Yield;t/ha;3,7;4,5;0,22;Positive;6,2;7;0,555555556;Positive;Irrigation;Rainfed;152mm;;Extracted from Fig. 3 with ImageJ
Nendel et al. 2014;10.1016/j.eja.2012.09.005;Impact/Adapt;Pea;March;Rainfed;Europe;Germany;Müncheberg;52,31;14,07;Spot;DE409;Nuts3;51,655;13,985;Far;2056;2085;1996;2025;2070;2010;A1B;ECHAM5;-0,118081181;1,6;569;MONICA;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/Irrigation demand;Irrigation;Yield;t/ha;3,7;3,7;0;Neutral;6,2;6,6;0,783783784;Positive;Irrigation;Rainfed;148mm;;Extracted from Fig. 3 with ImageJ
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP4.5;CNRM;0,05;0,4;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;3,144809524;0,01;Neutral;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP4.5;ECEARTH;-0,01;0,5;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;2,862571429;-0,08;Negative;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP4.5;IPSL;-0,04;1,1;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;2,707;-0,13;Negative;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP8.5;CNRM;0,03;0,4;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;3,269428571;0,05;Neutral;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP8.5;ECEARTH;0,01;1,1;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;3,163095238;0,01;Neutral;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP8.5;IPSL;-0,04;1,3;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;3,117761905;3,086380952;-0,01;Neutral;;;;;;;;Deep soil;
Falconnier et al. 2020;10.1016/j.fcr.2020.107967;Impact/Adapt;Faba bean;November;Rainfed;Europe;France;Auzeville;43,31;1,3;Spot;FRJ23;Nuts3;;;Near;2020;2040;1995;2015;2030;2005;RCP4.5;CNRM;0,05;0,4;;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Risk of crop failure/Biological N Fixation;Sowing date x Cultivar;Yield;t/ha;1,996857143;2,016142857;0,01;Neutral;;;;;;;;Shallow soil;
