Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);Kentriki Ellada (NUTS 2010);0,04;;;;;;;;;
Area (1000ha);Ipeiros (NUTS 2010);0,04;;;;;;;;;
Area (1000ha);Ionia Nisia (NUTS 2010);0;;;;;;;;;
Area (1000ha);Dytiki Ellada (NUTS 2010);0;;;;;;;;;
Area (1000ha);Sterea Ellada (NUTS 2010);0;;;;;;;;;
Area (1000ha);Peloponnisos (NUTS 2010);0;;;;;;;;;
Area (1000ha);Attiki;0;0;0;0;0;0;0;0;;
Area (1000ha);Attiki;0;0;0;0;0;0;0;0;;
Area (1000ha);Nisia Aigaiou, Kriti;0;0;0;0;0;0;0;0;;
Area (1000ha);Nisia Aigaiou;0;;;;;;;;;
Area (1000ha);Voreio Aigaio;0;0;0;0;0;0;0;0;;
Area (1000ha);Notio Aigaio;0;0;0;0;0;0;0;0;;
Area (1000ha);Kriti;0;0;0;0;0;0;0;0;;
Area (1000ha);Voreia Ellada;1,13;1,88;1,49;1,43;0,58;1;0,95;0,8;;
Area (1000ha);Anatoliki Makedonia, Thraki;0,99;1,69;1,38;1,25;0,54;0,98;0,93;0,7;;
Area (1000ha);Kentriki Makedonia;0,1;0,15;0,1;0,17;0,04;0,02;0,02;0,09;;
Area (1000ha);Dytiki Makedonia;0,01;0,01;0;0;0;0;0;0;;
Area (1000ha);Ipeiros;0,03;0,03;0,01;0,01;0;0;0;0;;
Area (1000ha);Kentriki Ellada;0,06;0,07;0,05;0,02;0,04;0,03;0,04;0,02;;
Area (1000ha);Thessalia;0,03;0,03;0,02;0,01;0,01;0,02;0,01;0;;
Area (1000ha);Ionia Nisia;0;0;0;0;0;0;0;0;;
Area (1000ha);Dytiki Ellada;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;;
Area (1000ha);Sterea Ellada;0,01;0,03;0,03;0,01;0,01;0;0;0;;
Area (1000ha);Peloponnisos;0;0;0;0;0;0;0;0;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Spain;0,81;1,32;1;1,69;1,48;1,57;1,45;1,57;1,3;1,3
Area (1000ha);Noroeste (ES);0;0;0;0;0;0;0;0;;
Area (1000ha);Galicia;0;0;0;0;0;0;0;0;;
Area (1000ha);Principado de Asturias;0;0;0;0;0;0;0;0;;
Area (1000ha);Cantabria;0;0;0;0;0;0;0;0;;
Area (1000ha);Noreste (ES);0,02;0,03;0,12;0,41;0,45;0,66;0,54;0,72;;
Area (1000ha);País Vasco;0;0;0;0;0;0;0;0;;
Area (1000ha);Comunidad Foral de Navarra;0,02;0,03;0,03;0,08;0,04;0,05;0;0,04;;
Area (1000ha);La Rioja;0;0;0;0;0;0;0;0;;
Area (1000ha);Aragón;0;0,01;0,1;0,33;0,41;0,62;0,54;0,68;;
Area (1000ha);Comunidad de Madrid;0;0;0;0;0;0;0;0;;
Area (1000ha);Comunidad de Madrid;0;0;0;0;0;0;0;0;;
Area (1000ha);Centro (ES);0,73;1,19;0,81;1,15;0,88;0,72;0,74;0,69;;
Area (1000ha);Castilla y León;0,17;0,23;0,28;0,31;0,16;0,17;0,2;0,16;;
Area (1000ha);Castilla-La Mancha;0,01;0,04;0;0;0,01;0;0,03;0,05;;
Area (1000ha);Extremadura;0,55;0,93;0,53;0,84;0,7;0,55;0,52;0,48;;
Area (1000ha);Este (ES);0,04;0,07;0,05;0,12;0,15;0,19;0,17;0,15;;
Area (1000ha);Cataluña;0,04;0,07;0,05;0,12;0,15;0,19;0,17;0,15;;
Area (1000ha);Comunidad Valenciana;0;0;0;0;0;0;0;0;;
Area (1000ha);Illes Balears;0;0;0;0;0;0;0;0;;
Area (1000ha);Sur (ES);0,02;0,02;0,01;0,01;0;0;0;0,01;;
Area (1000ha);Andalucía;0,02;0,02;0,01;0,01;0;0;0;0,01;;
Area (1000ha);Región de Murcia;0;0;0;0;0;0;0;0;;
Area (1000ha);Ciudad Autónoma de Ceuta;0;0;0;0;0;0;0;0;;
Area (1000ha);Ciudad Autónoma de Melilla;0;0;0;0;0;0;0;0;;
Area (1000ha);Canarias;0;0;0;0;0;0;0;0;;
Area (1000ha);Canarias;0;0;0;0;0;0;0;0;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);France;75,79;122,53;136,52;141,83;153,85;163,8;187,07;154,38;182,49;167,31
Area (1000ha);Ile-de-France;0,06;0,23;0,26;0,38;0,93;1,99;2,8;2,01;;
Area (1000ha);Ile-de-France;0,06;0,23;0,26;0,38;0,93;1,99;2,8;2,01;;
Area (1000ha);Centre - Val de Loire;0,58;1,84;1,94;2,47;3,64;4,93;6,09;3,76;;
Area (1000ha);Centre - Val de Loire;0,58;1,84;1,94;2,47;3,64;4,93;6,09;3,76;;
Area (1000ha);Bourgogne - Franche-Comté;24,75;27,8;24,87;31,93;34,42;34,37;38,42;30,56;;
Area (1000ha);Bourgogne;14,3;15,96;14,67;17,92;20,57;22;25,2;20,1;;
Area (1000ha);Franche-Comté;10,45;11,84;10,21;14,01;13,85;12,37;13,22;10,46;;
Area (1000ha);Normandie;0;0,13;0,09;0;0,07;0,07;0,27;0,35;;
Area (1000ha);Basse-Normandie ;0;0,08;0,03;0;0;0,04;0,15;0,23;;
Area (1000ha);Haute-Normandie ;0;0,05;0,06;0;0,07;0,03;0,12;0,12;;
Area (1000ha);Hauts-de-France;0;0,19;0,08;0,08;0,2;0,21;0,28;0,35;;
Area (1000ha);Nord-Pas de Calais;0;0;0;0,02;0,02;0;0,01;0,04;;
Area (1000ha);Picardie;0;0,19;0,08;0,06;0,18;0,21;0,27;0,31;;
Area (1000ha);Grand Est;2,24;6,12;5,97;8,48;11,82;13,03;12,77;9,33;;
Area (1000ha);Alsace;1,81;4,89;4,47;5,8;6,25;6,2;6,29;5,31;;
Area (1000ha);Champagne-Ardenne;0,33;1,07;1,19;1,97;3,97;4,78;4,54;2,9;;
Area (1000ha);Lorraine;0,1;0,16;0,31;0,71;1,6;2,05;1,94;1,12;;
Area (1000ha);Pays de la Loire;0,15;0,57;0,93;0,51;0,55;0,61;1,07;0,88;;
Area (1000ha);Pays de la Loire;0,15;0,57;0,93;0,51;0,55;0,61;1,07;0,88;;
Area (1000ha);Bretagne;0,01;0,07;0,05;0,05;0,08;0,13;0,28;0,19;;
Area (1000ha);Bretagne;0,01;0,07;0,05;0,05;0,08;0,13;0,28;0,19;;
Area (1000ha);Nouvelle-Aquitaine;13,22;25,36;32,21;29,97;33,71;36,51;45,5;40,28;;
Area (1000ha);Aquitaine;11,95;21,39;28,21;26,98;30,06;33,15;41,6;37,54;;
Area (1000ha);Limousin;0,06;0,16;0,15;0,13;0,19;0,13;0,15;0,12;;
Area (1000ha);Poitou-Charentes;1,22;3,81;3,86;2,87;3,46;3,23;3,76;2,63;;
Area (1000ha);Occitanie;26,61;45,94;54,99;51,43;52,01;56,83;64,67;53,77;;
Area (1000ha);Languedoc-Roussillon;0,36;1,14;1,1;0,97;1;1,35;1,7;1,5;;
Area (1000ha);Midi-Pyrénées;26,25;44,8;53,89;50,46;51,02;55,49;62,97;52,27;;
Area (1000ha);Auvergne - Rhône-Alpes;7,63;12,82;13,7;15,93;15,84;14,47;14,38;12,35;;
Area (1000ha);Auvergne;0,33;0,77;0,73;0,94;1,25;0,99;0,82;0,66;;
Area (1000ha);Rhône-Alpes;7,3;12,05;12,98;14,99;14,59;13,48;13,56;11,69;;
Area (1000ha);Provence-Alpes-Côte d’Azur;0,56;1,46;1,45;0,62;0,6;0,66;0,57;0,56;;
Area (1000ha);Provence-Alpes-Côte d’Azur;0,56;1,46;1,45;0,62;0,6;0,66;0,57;0,56;;
Area (1000ha);Corse;0;0;0;0;0;0;0;0;;
Area (1000ha);Corse;0;0;0;0;0;0;0;0;;
Area (1000ha);RUP FR - Régions ultrapériphériques françaises;0;0;0;0;0;0;0;0;;
Area (1000ha);Guadeloupe;0;0;0;0;0;0;0;0;;
Area (1000ha);Martinique ;0;0;0;0;0;0;0;0;;
Area (1000ha);Guyane;0;0;0;0;0;0;0;0;;
Area (1000ha);La Réunion ;0;0;0;0;0;0;0;0;;
Area (1000ha);Mayotte;;0;0;0;0;0;0;0;;
Area (1000ha);Bassin Parisien (NUTS 2013);;19,12;17,96;;;;;;;
Area (1000ha);Champagne-Ardenne (NUTS 2013);;;;;;;;;;
Area (1000ha);Picardie (NUTS 2013);;;;;;;;;;
Area (1000ha);Haute-Normandie (NUTS 2013);;;;;;;;;;
Area (1000ha);Centre (FR) (NUTS 2013);;;;;;;;;;
Area (1000ha);Basse-Normandie (NUTS 2013);;;;;;;;;;
Area (1000ha);Bourgogne (NUTS 2013);;;;;;;;;;
Area (1000ha);Nord-Pas-de-Calais (NUTS 2013);;0;0;;;;;;;
Area (1000ha);Nord-Pas-de-Calais (NUTS 2013);;;;;;;;;;
Area (1000ha);Est (FR) (NUTS 2013);;16,19;14,77;;;;;;;
Area (1000ha);Lorraine (NUTS 2013);;;;;;;;;;
Area (1000ha);Alsace (NUTS 2013);;;;;;;;;;
Area (1000ha);Franche-Comté (NUTS 2013);;;;;;;;;;
Area (1000ha);Ouest (FR) (NUTS 2013);;4,45;4,84;;;;;;;
