Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2016;2016;tonnes;152598.63;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2017;2017;tonnes;193416;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2018;2018;tonnes;186490;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2019;2019;tonnes;217780;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2020;2020;tonnes;204860;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2021;2021;tonnes;237830;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2010;2010;ha;4037;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2011;2011;ha;3884;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2012;2012;ha;5325;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2013;2013;ha;4474;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2014;2014;ha;4186;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2015;2015;ha;7368;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2016;2016;ha;7022;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2017;2017;ha;7507;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2018;2018;ha;8579;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2019;2019;ha;9026;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2020;2020;ha;12684;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5312;Area harvested;141;Soya beans;2021;2021;ha;10647;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2010;2010;hg/ha;19834;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2011;2011;hg/ha;17374;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2012;2012;hg/ha;12597;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2013;2013;hg/ha;17801;A;Official figure;
